U.A.E,United Arab Emirates
Maldives,Maldives
Mauritius,Mauritius
Thailand,Thailand
Singapore,Singapore
Bali,Indonesia
Malaysia,Malaysia
Vietnam,Vietnam
Europe,Europe
Kazakistan,Kazakhstan
Laos,Laos
Azerbaijan,Azerbaijan
Turkey,Turkey
Iceland,Iceland
Norway,Norway
Bora Bora Island,French Polynesia
Cambodia,Cambodia
Sri Lanka,Sri Lanka
United Kingdom,United Kingdom
Qatar,Qatar
Kuwait,Kuwait
Australia,Australia
France,France
Switzerland,Switzerland
Georgia,Georgia
Serbia,Serbia
Bhutan,Bhutan
Hong Kong,Hong Kong
Russia,Russia
Burj Khalifa,U.A.E,United Arab Emirates
Sheikh Zayed Grand Mosque,U.A.E,United Arab Emirates
Palm Jumeirah,U.A.E,United Arab Emirates
The Dubai Mall,U.A.E,United Arab Emirates
Dubai Marina,U.A.E,United Arab Emirates
Burj Al Arab,U.A.E,United Arab Emirates
Jumeirah Beach,U.A.E,United Arab Emirates
Dubai Creek,U.A.E,United Arab Emirates
Al Fahidi Historical Neighbourhood,U.A.E,United Arab Emirates
Dubai Frame,U.A.E,United Arab Emirates
Yas Island,U.A.E,United Arab Emirates
Ferrari World Abu Dhabi,U.A.E,United Arab Emirates
Warner Bros World Abu Dhabi,U.A.E,United Arab Emirates
Qasr Al Watan,U.A.E,United Arab Emirates
Emirates Palace,U.A.E,United Arab Emirates
Corniche Beach,U.A.E,United Arab Emirates
Hajar Mountains,U.A.E,United Arab Emirates
Khor Fakkan Beach,U.A.E,United Arab Emirates
Al Ain Oasis,U.A.E,United Arab Emirates
Sir Bani Yas Island,U.A.E,United Arab Emirates
Dubai Miracle Garden,U.A.E,United Arab Emirates
Global Village,U.A.E,United Arab Emirates
IMG Worlds of Adventure,U.A.E,United Arab Emirates
Aquaventure Waterpark,U.A.E,United Arab Emirates
Ski Dubai,U.A.E,United Arab Emirates
Dubai Opera,U.A.E,United Arab Emirates
Etihad Museum,U.A.E,United Arab Emirates
The Green Planet,U.A.E,United Arab Emirates
Ras Al Khor Wildlife Sanctuary,U.A.E,United Arab Emirates
Dubai Aquarium & Underwater Zoo,U.A.E,United Arab Emirates
Mall of the Emirates,U.A.E,United Arab Emirates
La Mer Beach,U.A.E,United Arab Emirates
Al Qudra Lakes,U.A.E,United Arab Emirates
Hatta Dam,U.A.E,United Arab Emirates
Al Seef,U.A.E,United Arab Emirates
Museum of the Future,U.A.E,United Arab Emirates
Jebel Hafeet,U.A.E,United Arab Emirates
Yas Waterworld,U.A.E,United Arab Emirates
Abu Dhabi Falcon Hospital,U.A.E,United Arab Emirates
Dubai Parks and Resorts,U.A.E,United Arab Emirates
Al Majaz Waterfront,U.A.E,United Arab Emirates
Sharjah Museum of Islamic Civilization,U.A.E,United Arab Emirates
Ajman Museum,U.A.E,United Arab Emirates
Fujairah Fort,U.A.E,United Arab Emirates
Wadi Wurayah,U.A.E,United Arab Emirates
Al Zorah Nature Reserve,U.A.E,United Arab Emirates
Dubai Autodrome,U.A.E,United Arab Emirates
Ain Dubai (Dubai Eye),U.A.E,United Arab Emirates
The Lost Chambers Aquarium,U.A.E,United Arab Emirates
Singapore War Trail,Singapore War Trail,Singapore,History
Singapore Bike Tour,Singapore Bike Tour,Singapore,Adventure
Singapore Helicopter Tour,Singapore Helicopter Tour,Singapore,Tour
Singapore Yacht Charter,Singapore Yacht Charter,Singapore,Luxury
Singapore Scuba Diving,Singapore Scuba Diving,Singapore,Adventure
Singapore Sunset Cruise,Singapore Sunset Cruise,Singapore,Tour
Tanah Lot Temple,Tanah Lot Temple,Indonesia,Landmark/Religion
Uluwatu Temple,Uluwatu Temple,Indonesia,Landmark/Religion
Besakih Temple,Besakih Temple,Indonesia,Religion/Culture
Ubud Monkey Forest,Ubud Monkey Forest,Indonesia,Nature/Wildlife
Tegallalang Rice Terraces,Tegallalang Rice Terraces,Indonesia,Nature
Mount Batur,Mount Batur,Indonesia,Adventure/Nature
Tirta Empul Temple,Tirta Empul Temple,Indonesia,Religion/Culture
Goa Gajah (Elephant Cave),Goa Gajah,Indonesia,History/Culture
Taman Ayun Temple,Taman Ayun Temple,Indonesia,Religion
Ulun Danu Beratan Temple,Ulun Danu Beratan Temple,Indonesia,Landmark/Religion
Seminyak Beach,Seminyak Beach,Indonesia,Beach
Kuta Beach,Kuta Beach,Indonesia,Beach
Nusa Dua Beach,Nusa Dua Beach,Indonesia,Beach/Resort
Jimbaran Bay,Jimbaran Bay,Indonesia,Beach/Dining
Padang Padang Beach,Padang Padang Beach,Indonesia,Beach
Sekumpul Waterfall,Sekumpul Waterfall,Indonesia,Nature
Gitgit Waterfall,Gitgit Waterfall,Indonesia,Nature
Tibumana Waterfall,Tibumana Waterfall,Indonesia,Nature
Sidemen Valley,Sidemen Valley,Indonesia,Nature
Campuhan Ridge Walk,Campuhan Ridge Walk,Indonesia,Nature/Hiking
Bali Safari and Marine Park,Bali Safari and Marine Park,Indonesia,Wildlife
Waterbom Bali,Waterbom Bali,Indonesia,Water Park
Bali Bird Park,Bali Bird Park,Indonesia,Wildlife
Garuda Wisnu Kencana Cultural Park,Garuda Wisnu Kencana,Indonesia,Culture/Art
Bali Museum,Bali Museum,Indonesia,History/Culture
Neka Art Museum,Neka Art Museum,Indonesia,Art
Ubud Art Market,Ubud Art Market,Indonesia,Arts/Shopping
Bali Pulina,Bali Pulina,Indonesia,Agro-Tourism
Bali Treetop Adventure Park,Bali Treetop Adventure Park,Indonesia,Adventure
Ayung River Rafting,Ayung River Rafting,Indonesia,Adventure
Mount Agung,Mount Agung,Indonesia,Adventure/Nature
Lempuyang Temple,Lempuyang Temple,Indonesia,Religion/Views
Tirta Gangga,Tirta Gangga,Indonesia,History/Nature
Devdan Show,Devdan Show,Indonesia,Culture/Entertainment
Kecak Fire Dance,Kecak Fire Dance,Indonesia,Culture/Performance
Bali Swing,Bali Swing,Indonesia,Adventure/Photography
Nusa Penida Island,Nusa Penida Island,Indonesia,Adventure/Nature
Angel's Billabong,Angel's Billabong,Indonesia,Nature
Kelingking Beach,Kelingking Beach,Indonesia,Beach/Views
Sanur Beach,Sanur Beach,Indonesia,Beach
Bali Green School,Bali Green School,Indonesia,Education
Bali Equestrian Centre,Bali Equestrian Centre,Indonesia,Sports
Bali Wake Park,Bali Wake Park,Indonesia,Sports
Bali Cycling Tours,Bali Cycling Tours,Indonesia,Adventure
Bali Snorkeling Tours,Bali Snorkeling Tours,Indonesia,Adventure
Bali Cooking Classes,Bali Cooking Classes,Indonesia,Culture/Food
Bali Spa Retreats,Bali Spa Retreats,Indonesia,Wellness
Bali Surfing Lessons,Bali Surfing Lessons,Indonesia,Sports
Bali Beach Clubs,Bali Beach Clubs,Indonesia,Nightlife
Bali Cultural Shows,Bali Cultural Shows,Indonesia,Culture
Petronas Twin Towers,Kuala Lumpur,Malaysia
Batu Caves,Selangor,Malaysia
Langkawi Sky Cab,Kedah,Malaysia
Penang Hill,Penang,Malaysia
George Town UNESCO Site,Penang,Malaysia
Perhentian Islands,Terengganu,Malaysia
Taman Negara National Park,Pahang,Malaysia
Genting Highlands,Pahang,Malaysia
Cameron Highlands,Pahang,Malaysia
Mount Kinabalu,Sabah,Malaysia
Sipadan Island,Sabah,Malaysia
Mulu Caves,Sarawak,Malaysia
Kek Lok Si Temple,Penang,Malaysia
Melaka Historic City,Malacca,Malaysia
Sunway Lagoon,Selangor,Malaysia
Sepilok Orangutan Centre,Sabah,Malaysia
Redang Island,Terengganu,Malaysia
Tioman Island,Pahang,Malaysia
Bako National Park,Sarawak,Malaysia
Royal Belum State Park,Perak,Malaysia
Putrajaya Mosque,Putrajaya,Malaysia
Legoland Malaysia,Johor,Malaysia
Kuala Lumpur Tower,Kuala Lumpur,Malaysia
Semenggoh Wildlife Centre,Sarawak,Malaysia
Tunku Abdul Rahman Park,Sabah,Malaysia
Pulau Payar Marine Park,Kedah,Malaysia
Fraser's Hill,Pahang,Malaysia
Kinabatangan River,Sabah,Malaysia
Kuala Gandah Elephant Sanctuary,Pahang,Malaysia
Kapas Island,Terengganu,Malaysia
Pangkor Island,Perak,Malaysia
Bukit Bintang,Kuala Lumpur,Malaysia
Suria KLCC,Kuala Lumpur,Malaysia
Batang Ai National Park,Sarawak,Malaysia
Tanjung Puting National Park,Sabah,Malaysia
Danum Valley Conservation Area,Sabah,Malaysia
Mantanani Islands,Sabah,Malaysia
Turtle Islands Park,Sabah,Malaysia
Kuching Waterfront,Sarawak,Malaysia
The Habitat Penang,Penang,Malaysia
Berjaya Times Square,Kuala Lumpur,Malaysia
Aquaria KLCC,Kuala Lumpur,Malaysia
KL Bird Park,Kuala Lumpur,Malaysia
Islamic Arts Museum Malaysia,Kuala Lumpur,Malaysia
Baba Nyonya Heritage Museum,Malacca,Malaysia
Sarawak Cultural Village,Sarawak,Malaysia
Sabah State Museum,Sabah,Malaysia
Penang National Park,Penang,Malaysia
Endau-Rompin National Park,Johor,Malaysia
Gunung Mulu National Park,Sarawak,Malaysia
Pulau Sipadan,Sabah,Malaysia
Pulau Mabul,Sabah,Malaysia
Pulau Kapas,Terengganu,Malaysia
Pulau Perhentian,Terengganu,Malaysia
Pulau Tioman,Pahang,Malaysia
Pulau Redang,Terengganu,Malaysia
Pulau Langkawi,Kedah,Malaysia
Pulau Pangkor,Perak,Malaysia
Pulau Tenggol,Terengganu,Malaysia
Pulau Rawa,Johor,Malaysia
Pulau Besar,Malacca,Malaysia
Pulau Ketam,Selangor,Malaysia
Pulau Gaya,Sabah,Malaysia
Pulau Tiga,Sabah,Malaysia
Pulau Labuan,Labuan,Malaysia
Pulau Layang-Layang,Sabah,Malaysia
Pulau Mataking,Sabah,Malaysia
Pulau Pom Pom,Sabah,Malaysia
Pulau Mantanani,Sabah,Malaysia
Pulau Sapi,Sabah,Malaysia
Pulau Manukan,Sabah,Malaysia
Pulau Mamutik,Sabah,Malaysia
Pulau Sulug,Sabah,Malaysia
Pulau Dinawan,Sabah,Malaysia
Pulau Sepanggar,Sabah,Malaysia
Pulau Upeh,Malacca,Malaysia
Pulau Indah,Selangor,Malaysia
Pulau Carey,Selangor,Malaysia
Pulau Ketam,Selangor,Malaysia
Pulau Klang,Selangor,Malaysia
Pulau Lumut,Perak,Malaysia
Pulau Pangkor Laut,Perak,Malaysia
Pulau Jarak,Perak,Malaysia
Pulau Sembilan,Perak,Malaysia
Pulau Talang-Talang,Sarawak,Malaysia
Pulau Satang,Sarawak,Malaysia
Pulau Lakei,Sarawak,Malaysia
Pulau Kukup,Johor,Malaysia
Pulau Pisang,Johor,Malaysia
Pulau Aur,Johor,Malaysia
Pulau Pemanggil,Johor,Malaysia
Pulau Tinggi,Johor,Malaysia
Pulau Sibu,Johor,Malaysia
Pulau Besar,Johor,Malaysia
Pulau Tengah,Johor,Malaysia
Pulau Dayang,Johor,Malaysia
Pulau Lima,Johor,Malaysia
Pulau Mensirip,Johor,Malaysia
Pulau Hujung,Johor,Malaysia
Pulau Merambong,Johor,Malaysia
Pulau Kukup,Johor,Malaysia
Pulau Karimun,Johor,Malaysia
Pulau Batu Puteh,Johor,Malaysia
Pulau Pisang,Johor,Malaysia
Pulau Aur,Johor,Malaysia
Pulau Pemanggil,Johor,Malaysia
Pulau Tinggi,Johor,Malaysia
Pulau Sibu,Johor,Malaysia
Pulau Besar,Johor,Malaysia
Pulau Tengah,Johor,Malaysia
Pulau Dayang,Johor,Malaysia
Pulau Lima,Johor,Malaysia
Pulau Mensirip,Johor,Malaysia
Pulau Hujung,Johor,Malaysia
Pulau Merambong,Johor,Malaysia
Ha Long Bay (Cruise Adventure),Vietnam,Vietnam,Quang Ninh|Adventure  
Phong Nha-Ke Bang (Cave Exploration),Vietnam,Vietnam,Quang Binh|Adventure  
Sapa (Trekking & Homestays),Vietnam,Vietnam,Lao Cai|Adventure  
Cat Ba Island (Rock Climbing),Vietnam,Vietnam,Hai Phong|Adventure  
Da Lat (Canyoning),Vietnam,Vietnam,Lam Dong|Adventure  
Mui Ne (Sandboarding/Kitesurfing),Vietnam,Vietnam,Binh Thuan|Adventure  
Hai Van Pass (Motorbike Tour),Vietnam,Vietnam,Da Nang|Adventure  
Six Senses Con Dao,Vietnam,Vietnam,Con Dao|Luxury  
Amanoi Resort,Vietnam,Vietnam,Ninh Thuan|Luxury  
InterContinental Da Nang,Vietnam,Vietnam,Da Nang|Luxury  
The Reverie Saigon,Vietnam,Vietnam,Ho Chi Minh City|Luxury  
Capella Hanoi,Vietnam,Vietnam,Hanoi|Luxury  
Hoi An Ancient Town (UNESCO),Vietnam,Vietnam,Quang Nam|Cultural  
Hue Imperial Citadel (UNESCO),Vietnam,Vietnam,Thua Thien-Hue|Cultural  
My Son Sanctuary (UNESCO),Vietnam,Vietnam,Quang Nam|Cultural  
War Remnants Museum,Vietnam,Vietnam,Ho Chi Minh City|Cultural  
Cu Chi Tunnels,Vietnam,Vietnam,Ho Chi Minh City|Cultural  
Golden Bridge (Ba Na Hills),Vietnam,Vietnam,Da Nang|Cultural  
Phu Quoc Island (Beaches),Vietnam,Vietnam,Kien Giang|Beach  
Nha Trang (Resorts & Diving),Vietnam,Vietnam,Khanh Hoa|Beach  
Lang Co Beach,Vietnam,Vietnam,Thua Thien-Hue|Beach  
Con Dao Islands,Vietnam,Vietnam,Ba Ria-Vung Tau|Beach  
Mekong Delta (River Cruises),Vietnam,Vietnam,Southwest Region|Cultural  
Trang An Boat Tour,Vietnam,Vietnam,Ninh Binh|Cultural  
Marble Mountains (Hiking),Vietnam,Vietnam,Da Nang|Adventure  
Perfume Pagoda (Pilgrimage),Vietnam,Vietnam,Hanoi|Cultural  
Eiffel Tower,Paris,France  
Louvre Museum,Paris,France  
Palace of Versailles,Versailles,France  
Mont Saint-Michel,Normandy,France  
Provence Lavender Fields,Provence,France  
Colosseum,Rome,Italy  
Leaning Tower of Pisa,Pisa,Italy  
Venice Canals,Venice,Italy  
Amalfi Coast,Campania,Italy  
Pompeii,Naples,Italy  
Sagrada Família,Barcelona,Spain  
Park Güell,Barcelona,Spain  
Alhambra,Granada,Spain  
La Concha Beach,San Sebastián,Spain  
Seville Cathedral,Seville,Spain  
Acropolis of Athens,Athens,Greece  
Santorini Caldera,Santorini,Greece  
Metéora Monasteries,Kalabaka,Greece  
Mykonos Windmills,Mykonos,Greece  
Delphi Archaeological Site,Delphi,Greece  
Buckingham Palace,London,United Kingdom  
Big Ben,London,United Kingdom  
Stonehenge,Wiltshire,United Kingdom  
Edinburgh Castle,Edinburgh,United Kingdom  
Giant’s Causeway,Antrim,United Kingdom  
Brandenburg Gate,Berlin,Germany  
Neuschwanstein Castle,Bavaria,Germany  
Black Forest,Baden-Württemberg,Germany  
Cologne Cathedral,Cologne,Germany  
Romantic Road,Bavaria,Germany  
Charles Bridge,Prague,Czech Republic  
Prague Castle,Prague,Czech Republic  
Český Krumlov Castle,Český Krumlov,Czech Republic  
Sedlec Ossuary,Kutná Hora,Czech Republic  
Karlštejn Castle,Karlštejn,Czech Republic  
Anne Frank House,Amsterdam,Netherlands  
Van Gogh Museum,Amsterdam,Netherlands  
Keukenhof Gardens,Lisse,Netherlands  
Zaanse Schans Windmills,Zaandam,Netherlands  
Rijksmuseum,Amsterdam,Netherlands  
Schönbrunn Palace,Vienna,Austria  
Hallstatt,Salzkammergut,Austria  
Hohensalzburg Fortress,Salzburg,Austria  
Vienna State Opera,Vienna,Austria  
Grossglockner High Alpine Road,Carinthia,Austria  
Grand Place,Brussels,Belgium  
Atomium,Brussels,Belgium  
Bruges Canals,Bruges,Belgium  
Gravensteen Castle,Ghent,Belgium  
Waterloo Battlefield,Wallonia,Belgium  
Northern Lights,Tromsø,Norway  
Geirangerfjord,Møre og Romsdal,Norway  
Vigeland Sculpture Park,Oslo,Norway  
Preikestolen (Pulpit Rock),Rogaland,Norway  
Lofoten Islands,Nordland,Norway  
Blue Lagoon,Grindavík,Iceland  
Golden Circle Route,South Iceland,Iceland  
Jökulsárlón Glacier Lagoon,Vatnajökull,Iceland  
Reykjavik Hallgrímskirkja,Reykjavik,Iceland  
Thingvellir National Park,South Iceland,Iceland  
Plitvice Lakes National Park,Lika,Croatia  
Dubrovnik Old Town,Dubrovnik,Croatia  
Diocletian’s Palace,Split,Croatia  
Krka National Park,Šibenik,Croatia  
Zlatni Rat Beach,Brač,Croatia  
Fisherman’s Bastion,Budapest,Hungary  
Buda Castle,Budapest,Hungary  
Hungarian Parliament Building,Budapest,Hungary  
Széchenyi Thermal Baths,Budapest,Hungary  
Lake Balaton,Transdanubia,Hungary  
Wawel Castle,Kraków,Poland  
Auschwitz-Birkenau Memorial,Oświęcim,Poland  
Warsaw Old Town,Warsaw,Poland  
Malbork Castle,Malbork,Poland  
Białowieża Forest,Podlaskie,Poland  
Rila Monastery,Rila Mountains,Bulgaria  
Alexander Nevsky Cathedral,Sofia,Bulgaria  
Sunny Beach,Burgas,Bulgaria  
Belogradchik Rocks,Vidin,Bulgaria  
Seven Rila Lakes,Rila Mountains,Bulgaria  
Bran Castle,Brașov,Romania  
Palace of the Parliament,Bucharest,Romania  
Transfăgărășan Highway,Făgăraș Mountains,Romania  
Peleș Castle,Sinaia,Romania  
Danube Delta,Tulcea,Romania  
Old Town Square,Tallinn,Estonia  
Lahemaa National Park,Harju County,Estonia  
Alexander Nevsky Cathedral,Tallinn,Estonia  
Pärnu Beach,Pärnu,Estonia  
Kumu Art Museum,Tallinn,Estonia  
Old Town,Riga,Latvia  
Gauja National Park,Vidzeme,Latvia  
Rundāle Palace,Bauska,Latvia  
Jurmala Beach,Jurmala,Latvia  
Art Nouveau District,Riga,Latvia  
Trakai Island Castle,Trakai,Lithuania  
Hill of Crosses,Šiauliai,Lithuania  
Vilnius Old Town,Vilnius,Lithuania  
Curonian Spit,Klaipėda,Lithuania  
Gediminas Tower,Vilnius,Lithuania  
Lake Bled,Bled,Slovenia  
Postojna Cave,Postojna,Slovenia  
Ljubljana Castle,Ljubljana,Slovenia  
Triglav National Park,Julian Alps,Slovenia  
Škocjan Caves,Divača,Slovenia  
Mostar Bridge,Mostar,Bosnia and Herzegovina  
Sarajevo Old Town,Sarajevo,Bosnia and Herzegovina  
Kravice Waterfalls,Herzegovina,Bosnia and Herzegovina  
Charyn Canyon,Almaty Region,Kazakhstan  
Almaty Metro,Almaty,Kazakhstan  
Big Almaty Lake,Almaty,Kazakhstan  
Medeu Skating Rink,Almaty,Kazakhstan  
Kok-Tobe Hill,Almaty,Kazakhstan  
Baiterek Tower,Astana,Kazakhstan  
Khan Shatyr Entertainment Center,Astana,Kazakhstan  
Hazrat Sultan Mosque,Astana,Kazakhstan  
Bayterek Monument,Astana,Kazakhstan  
Nur-Astana Mosque,Astana,Kazakhstan  
Kolsai Lakes,Almaty Region,Kazakhstan  
Kaindy Lake,Almaty Region,Kazakhstan  
Singing Dune,Altyn-Emel National Park,Kazakhstan  
Tamgaly Petroglyphs,Almaty Region,Kazakhstan  
Aksu-Zhabagly Nature Reserve,Turkistan Region,Kazakhstan  
Mausoleum of Khoja Ahmed Yasawi,Turkistan,Kazakhstan  
Otrar Ruins,Turkistan Region,Kazakhstan  
Arystan Bab Mausoleum,Turkistan Region,Kazakhstan  
Shymbulak Ski Resort,Almaty,Kazakhstan  
First President's Park,Almaty,Kazakhstan  
Central State Museum,Almaty,Kazakhstan  
Zenkov Cathedral,Almaty,Kazakhstan  
Republic Square,Almaty,Kazakhstan  
Palace of Peace and Reconciliation,Astana,Kazakhstan  
Astana Opera,Astana,Kazakhstan  
Duman Entertainment Complex,Astana,Kazakhstan  
Ethno-Memorial Complex Map of Kazakhstan,Astana,Kazakhstan  
Akkol Resort,Akmola Region,Kazakhstan  
Burabay National Park,Akmola Region,Kazakhstan  
Lake Borovoe,Akmola Region,Kazakhstan  
Atyrau City,Atyrau Region,Kazakhstan  
Ustyurt Plateau,Mangystau Region,Kazakhstan  
Beket-Ata Underground Mosque,Mangystau Region,Kazakhstan  
Shakpak-Ata Mosque,Mangystau Region,Kazakhstan  
Canyons of Mangystau,Mangystau Region,Kazakhstan  
Aktau Mountains,Mangystau Region,Kazakhstan  
Lake Balkhash,Karaganda Region,Kazakhstan  
Karkaraly National Park,Karaganda Region,Kazakhstan  
Saryarka Steppe,Karaganda Region,Kazakhstan  
Naurzum Nature Reserve,Kostanay Region,Kazakhstan  
Lake Kopa,Kostanay Region,Kazakhstan  
Altai Mountains,East Kazakhstan Region,Kazakhstan  
Rakhmanov Springs,East Kazakhstan Region,Kazakhstan  
Markakol Lake,East Kazakhstan Region,Kazakhstan  
Bukhtarma Reservoir,East Kazakhstan Region,Kazakhstan  
Aulie-Ata Necropolis,Taraz,Kazakhstan  
Taraz Archaeological Museum,Taraz,Kazakhstan  
Shymkent Central Park,Shymkent,Kazakhstan  
Ordabasy Square,Shymkent,Kazakhstan  
Karavan Saray Historical Complex,Shymkent,Kazakhstan  
Vat Phou,Champasak,Laos
Kuang Si Falls,Luang Prabang,Laos
Patuxai,Vientiane,Laos
Pha That Luang,Vientiane,Laos
Plain of Jars,Xieng Khouang,Laos
Wat Xieng Thong,Luang Prabang,Laos
Pak Ou Caves,Luang Prabang,Laos
Bolaven Plateau,Champasak,Laos
Si Phan Don,Champasak,Laos
Wat Sisaket,Vientiane,Laos
Tham Kong Lo,Khammouane,Laos
Mount Phousi,Luang Prabang,Laos
COPE Visitor Center,Vientiane,Laos
Wat Phou Salao,Luang Prabang,Laos
Tad Fane Waterfall,Paksong,Laos
Buddha Park,Vientiane,Laos
Wat Ho Phra Keo,Vientiane,Laos
Nam Ou River,Northern Laos,Laos
Tad Yuang Waterfall,Bolaven Plateau,Laos
Royal Palace Museum,Luang Prabang,Laos
That Ing Hang,Savannakhet,Laos
Tad Sae Waterfall,Luang Prabang,Laos
Phou Khao Khouay,Vientiane Province,Laos
Wat Mai Suwannaphumaham,Luang Prabang,Laos
Ban Kiet Ngong,Champasak,Laos
Tad Tayicsua Waterfall,Bolaven Plateau,Laos
Wat Visoun,Luang Prabang,Laos
Nong Khiaw,Northern Laos,Laos
Tad Champee Waterfall,Bolaven Plateau,Laos
Wat Aham,Luang Prabang,Laos
Mekong River Sunset,Luang Prabang,Laos
Tad Lo Waterfall,Salavan,Laos
Wat Manorom,Luang Prabang,Laos
Phou Hin Boun National Park,Khammouane,Laos
Tad Hang Waterfall,Salavan,Laos
Wat That Luang Neua,Vientiane,Laos
Ban Na Village,Luang Prabang,Laos
Tad Katamtok Waterfall,Bolaven Plateau,Laos
Wat Ong Teu,Vientiane,Laos
Ban Phanom Village,Luang Prabang,Laos
Tad Soung Waterfall,Bolaven Plateau,Laos
Wat Si Muang,Vientiane,Laos
Ban Xang Hai Village,Luang Prabang,Laos
Tad Phasouam Waterfall,Bolaven Plateau,Laos
Wat That Khao,Vientiane,Laos
Ban Tha Heua,Vang Vieng,Laos
Tad Moun Waterfall,Bolaven Plateau,Laos
Wat Mixay,Vientiane,Laos
Ban Tha Kaek,Khammouane,Laos
Tad Alang Waterfall,Bolaven Plateau,Laos
Wat Sok Pa Luang,Vientiane,Laos
Old City (Icherisheher),Baku,Azerbaijan
Maiden Tower,Baku,Azerbaijan
Palace of the Shirvanshahs,Baku,Azerbaijan
Heydar Aliyev Center,Baku,Azerbaijan
Flame Towers,Baku,Azerbaijan
Gobustan Rock Art Cultural Landscape,Gobustan,Azerbaijan
Mud Volcanoes,Gobustan,Azerbaijan
Ateshgah Fire Temple,Baku,Azerbaijan
Yanar Dag (Burning Mountain),Absheron,Azerbaijan
Bibi-Heybat Mosque,Baku,Azerbaijan
Shahdag Mountain Resort,Gusar,Azerbaijan
Gabala Mountain Resort,Gabala,Azerbaijan
Tufandag Mountain Resort,Gabala,Azerbaijan
Sheki Khan's Palace,Sheki,Azerbaijan
Sheki Caravanserai,Sheki,Azerbaijan
Alinja Castle,Nakhchivan,Azerbaijan
Nizami Mausoleum,Ganja,Azerbaijan
Bottle House,Ganja,Azerbaijan
Lahij Village,Ismayilli,Azerbaijan
Xinaliq Village,Guba,Azerbaijan
Khinalug Village,Guba,Azerbaijan
Goygol Lake,Goygol,Azerbaijan
Maraza Mausoleum,Maraza,Azerbaijan
Shamakhi Astrophysical Observatory,Shamakhi,Azerbaijan
Juma Mosque,Shamakhi,Azerbaijan
Seven Beauties Waterfall,Gabala,Azerbaijan
Nohur Lake,Gabala,Azerbaijan
Taza Pir Mosque,Baku,Azerbaijan
Azerbaijan Carpet Museum,Baku,Azerbaijan
National Art Museum,Baku,Azerbaijan
Baku Boulevard,Baku,Azerbaijan
Little Venice,Baku,Azerbaijan
Baku Ferris Wheel,Baku,Azerbaijan
Gala Archaeological Ethnographic Museum Complex,Baku,Azerbaijan
Absheron National Park,Abşeron,Azerbaijan
Giz Galasi (Maiden Tower),Baku,Azerbaijan
Gosha Gala Gate,Baku,Azerbaijan
Martyrs' Lane,Baku,Azerbaijan
Baku Crystal Hall,Baku,Azerbaijan
Azerbaijan State Philharmonic Hall,Baku,Azerbaijan
Mugham Center,Baku,Azerbaijan
Taza Bazaar,Sheki,Azerbaijan
Basgal Village,Ismayilli,Azerbaijan
Ivanovka Village,Ismayilli,Azerbaijan
Shahdag National Park,Gusar,Azerbaijan
Goyazan Mountain,Qazax,Azerbaijan
Beshtashag Lake,Lankaran,Azerbaijan
Hirkan National Park,Lankaran,Azerbaijan
Lankaran Fortress,Lankaran,Azerbaijan
Astara Waterfall,Astara,Azerbaijan
Shahbulag Castle,Aghdam,Azerbaijan
Hagia Sophia,Istanbul,Turkey  
Blue Mosque,Istanbul,Turkey  
Topkapi Palace,Istanbul,Turkey  
Grand Bazaar,Istanbul,Turkey  
Basilica Cistern,Istanbul,Turkey  
Galata Tower,Istanbul,Turkey  
Dolmabahçe Palace,Istanbul,Turkey  
Süleymaniye Mosque,Istanbul,Turkey  
Spice Bazaar,Istanbul,Turkey  
Bosphorus Cruise,Istanbul,Turkey  
Pamukkale Thermal Pools,Denizli,Turkey  
Ephesus Ancient City,Selçuk,Turkey  
Cappadocia Fairy Chimneys,Nevşehir,Turkey  
Göreme Open Air Museum,Nevşehir,Turkey  
Hot Air Balloon Ride,Nevşehir,Turkey  
Mount Nemrut,Adıyaman,Turkey  
Aspendos Theater,Antalya,Turkey  
Patara Beach,Antalya,Turkey  
Olympos Ancient City,Antalya,Turkey  
Myra Rock Tombs,Antalya,Turkey  
Perge Ancient City,Antalya,Turkey  
Termessos Ancient City,Antalya,Turkey  
Antalya Old Town (Kaleiçi),Antalya,Turkey  
Düden Waterfalls,Antalya,Turkey  
Konyaaltı Beach,Antalya,Turkey  
Troy Ancient City,Çanakkale,Turkey  
Gallipoli Battlefields,Çanakkale,Turkey  
Assos Ancient City,Çanakkale,Turkey  
Anıtkabir,Ankara,Turkey  
Museum of Anatolian Civilizations,Ankara,Turkey  
Göbekli Tepe,Şanlıurfa,Turkey  
Balıklıgöl,Şanlıurfa,Turkey  
Harran Beehive Houses,Şanlıurfa,Turkey  
Mardin Old Town,Mardin,Turkey  
Dara Ancient City,Mardin,Turkey  
Hasankeyf,Batman,Turkey  
Sumela Monastery,Trabzon,Turkey  
Uzungöl,Trabzon,Turkey  
Ayder Plateau,Rize,Turkey  
İshak Pasha Palace,Ağrı,Turkey  
Lake Van,Van,Turkey  
Akdamar Island,Van,Turkey  
Mount Ararat,Ağrı,Turkey  
Safranbolu Old Town,Karabük,Turkey  
Amasya Ottoman Houses,Amasya,Turkey  
Hattusha Ancient City,Çorum,Turkey  
Alacahöyük Ancient Site,Çorum,Turkey  
Ihlara Valley,Aksaray,Turkey  
Derinkuyu Underground City,Nevşehir,Turkey  
Kaymaklı Underground City,Nevşehir,Turkey  
Selime Monastery,Nevşehir,Turkey  
Pigeon Valley,Nevşehir,Turkey  
